job_name,task_name,inst_name,worker_name,inst_id,status,start_time,end_time,machine
54670e2998350a9f0e4868d5,worker,c47ee192deea8c5aa87d8d7c2e02120cd03f75304a69dde378ac4abad45c,05b1590648df3f4c6deea2496bbbefd4d3ae93347669f764d466128a150f,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273065,165261853e188ca69c4fbcdf
54670e2998350a9f0e4868d5,worker,92759a73039692b2d3e0929cadf55f5b07b40d6582c36fdf15c6c1cb493a,cbc1bc591c53301bceafa44dc626288fd92d2fc5dca43813d9ff7f8d56ae,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273056,31dbf829549b10917e7193a6
54670e2998350a9f0e4868d5,worker,b3e42abde4c35da06ff4746802b82678b1bf56b28efaa1b4994b1abbdc88,09d41bf627188adc004b2db7c0a47578325952cc3340af02a351480dae90,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273067,31dbf829549b10917e7193a6
54670e2998350a9f0e4868d5,worker,d0f2e1f76ff463bcd08302370cc2f9bf0ec1333a3b25e325bc1b57debff7,1a631e8be3fd787c2891c15b9e9bac6df4f177efc9ec7b954283c8648554,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273058,3765d45e2eca88d1d1da7cef
54670e2998350a9f0e4868d5,worker,0243b1305fd38f228634b23f69de5ed5ce801360eeffdc990834becc78b4,59aea81c00cccb5cd01ca2f7f72877d6bc73b427821986ce84858c51c4d8,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273059,c0d6760f6248ea8260e36fa5
54670e2998350a9f0e4868d5,worker,37d701af4f93487bf928b19df63f989b48c8cf6c559513e387c8839c7e81,c3abefa8a4552e1f226eb8d35d44b94f512440be9adaa0dfb8cf02a9a854,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273060,c0d6760f6248ea8260e36fa5
54670e2998350a9f0e4868d5,worker,1753fcfedee1e5f287617ac478dd44ed1898ecbb278d26361949c8057d4b,d4e61397a75bc629099a8a237d1c94e4a05844daff6890d11e8751188d04,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273061,f1b1d66a13cb0bcc2a7f11b3
54670e2998350a9f0e4868d5,worker,5a09fb5514707988416afbc41e2a9b3207e82968fc618358b5614551a75a,59023a629554e2f2187bf22e7c75f65750d926624d250b9acd8e0770d3ad,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273060,9636b13b9943539c6dbf0307
54670e2998350a9f0e4868d5,worker,e7d80f60317c97f8570ff1305be395cbb3cc4f15ed1662ae5046691af17c,dd119aacc9abb552edf1413896ef3b3194fae635e7bd88c0b2d61a636113,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273059,9636b13b9943539c6dbf0307
54670e2998350a9f0e4868d5,worker,6fb84f0bdf226e4127daed234dce1ef0f21afee707d7a21d51d87bf579ab,ec9f0377e51bf27d3d820da320aca6422f736c2abaeb479347f36366e372,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273058,ceac47c981e751b1a66fa2ed
54670e2998350a9f0e4868d5,worker,c6a334f003d3ce033296596567699eb83858d4df9cd3da82a3b383064b02,41416b1c21c51c3bf66ffa9c04bf0610682fadcb99e069239450155a1995,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273057,ceac47c981e751b1a66fa2ed
54670e2998350a9f0e4868d5,worker,3628204a5c1863bedccf1f8f0efe2265cfb7b47172c1ee0566aae307b295,6022563be0374a6310029255c89c683dcd07aa0ece539dcf8b39a85b1118,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273056,59c3096e69e910d53efcc32e
54670e2998350a9f0e4868d5,worker,03973f115fd083300bb5c51785c3b562c0bebb85a184b6ed2c864a6b5e1b,d900a2ac41163336afb4546f6e6e3f62a3f539676744c112738bcafe9448,68889727c2257f702108d185e5eed342a39807a2893d4bac00987159d00c,Terminated,3272995,3273056,59c3096e69e910d53efcc32e
